time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.19999999999999998,-0.000108058627048,-7.64469042855e-06,10.0456032667,6.28292116119,0.00361837606543,0.0,-0.00236664545532,-0.000170054449244,0.455705721243,-0.00294019455622,0.0393397076651,0.0,448.2171712133614,449.17519111718883,448.24385905034046,448.172213118217
0.4000000000000001,-0.00202607591561,-1.59317761031e-05,10.1668559797,0.00353917991974,0.0157042890587,0.0,-0.0211499164935,0.00132894028242,0.75619401492,0.0445911139433,0.0850101540896,0.0,433.64671574771245,434.7987483997836,433.4195504577619,434.6163106204536
0.6000000000000002,-0.0112174147131,0.00157895598982,10.3499988948,0.0103096570995,0.0420237850825,0.0,-0.0802721571329,0.017249325708,1.07401776218,0.0204117574399,0.183011152283,0.0,434.8464152590078,437.3184766844075,436.8063083568484,436.2015817381543
0.8000000000000004,-0.0418078950218,0.00815094708317,10.6458411597,0.0126121356528,0.0780975527964,0.0,-0.241911801549,0.0495571194451,1.87957905254,0.000413336068228,0.177136451949,0.0,481.5984964104987,481.4938884262979,482.74136557115776,482.28838383588163
1.0000000000000004,-0.108373205784,0.0207417761977,11.0315458105,0.0157362654206,0.111935845491,0.0,-0.435247193687,0.0772731305701,1.9756168887,0.0335928337154,0.1593515013,0.0,418.65449120819807,418.2194118443018,417.912548726658,418.7792394558714
1.2000000000000006,-0.223799769539,0.0400386574627,11.4632989926,0.0118014952214,0.14486473901,0.0,-0.731307143597,0.114603214835,2.33743620492,-0.0937446756747,0.171008750164,0.0,445.8367183819713,446.14810250124236,447.37980415218914,444.2574433549222
1.4000000000000008,-0.40330895199,0.064181717442,11.9473759333,6.27003403547,0.178768161177,0.0,-1.0755400158,0.11831676132,2.49953756249,-0.165392221175,0.16769653824,0.0,429.0917311849833,429.0360366810524,430.2181763435674,428.37881502363757
1.600000000000001,-0.662953237618,0.0824110981997,12.4838181126,6.23033539744,0.210549074918,0.0,-1.53264159499,0.0492596752496,2.85778390246,-0.241970578847,0.14799090479,0.0,451.4268621030469,450.9731467652893,451.9361284832124,450.041504269246
1.8000000000000012,-1.0235986594,0.0761557007852,13.0997423218,6.18030100705,0.240133802095,0.0,-2.08464789237,-0.130842179871,3.29100590707,-0.260310842429,0.147841744818,0.0,462.40345455655375,462.41952346555263,463.74771498410155,463.2552898079835
2.0000000000000013,-1.49681982477,0.0243808160733,13.7789480107,6.13141268747,0.267201472415,0.0,-2.65693869574,-0.403497535777,3.49125867138,-0.2258382452,0.119673060349,0.0,447.02749963195396,446.3551541776025,446.6271700556105,447.41029553267595
2.2000000000000015,-2.09862094401,-0.0963837028044,14.5228889022,6.08980998507,0.292662172989,0.0,-3.3695094434,-0.818513534695,3.93215168314,-0.187182763893,0.13644150638,0.0,477.00829288704284,477.40589519982404,475.8938956775191,476.7411635705313
2.4000000000000017,-2.83008722796,-0.296306718192,15.2885402478,6.05599778791,0.30945070739,0.0,-3.95167380227,-1.18989481748,3.71867995334,-0.147873159104,0.0112077811272,0.0,420.5230583822635,417.26256278191664,418.847340347776,419.8423519057669
2.600000000000002,-3.67349919235,-0.570535553322,15.9864253635,6.02268277885,0.308092552275,0.0,-4.48548360998,-1.56120830623,3.25980193089,-0.190324805067,-0.0297196918234,0.0,394.84991720476233,393.7153490652274,394.4095359176957,393.2005195265922
2.800000000000002,-4.64713012056,-0.943281455075,16.6583843255,5.98159116496,0.305560801498,0.0,-5.24996298144,-2.17848333151,3.44615859763,-0.224493943423,0.00742549029876,0.0,465.2414682503269,466.11327346977816,466.3520749988007,465.5110141387976
3.000000000000002,-5.76751361103,-1.44113144331,17.3403232744,5.9334801531,0.307636595514,0.0,-5.95592418546,-2.8129997135,3.36033159402,-0.26078001359,0.0139650295215,0.0,446.7942740210764,446.9541000294781,447.1226069472089,446.1768788458069
3.2000000000000024,-7.02234009135,-2.0651082653,17.9735901299,5.88007912812,0.298457430381,0.0,-6.59404594664,-3.44080744911,2.96397396831,-0.274662278402,-0.130565287047,0.0,422.23286676785614,418.47087604039183,421.5410515466418,421.10466371367863
3.4000000000000026,-8.41099937372,-2.83176903501,18.5416624644,5.83091165795,0.273523072926,0.0,-7.2892126671,-4.24018862865,2.70594960605,-0.212960669701,-0.117586461629,0.0,442.3473042477541,442.6536758092507,440.96831276535585,442.4334201229592
3.6000000000000028,-9.9293897252,-3.75417581168,19.0269235781,5.78702813854,0.246088828817,0.0,-7.89454871294,-4.99760966476,2.14117056833,-0.227375427797,-0.162116812013,0.0,414.3012164729698,413.10536907289105,413.1958935877877,412.76265696908297
3.800000000000003,-11.5670688936,-4.83360091942,19.390265072,5.74788607494,0.21432042427,0.0,-8.48236766469,-5.81101025163,1.48740135026,-0.159755692918,-0.154886168515,0.0,406.7675726942026,406.9353296199224,405.3988211880124,407.1757364858748
4.000000000000003,-13.3312170004,-6.10609667137,19.6557262135,5.70963496902,0.177151331923,0.0,-9.15490803627,-6.927605664,1.15349726726,-0.232476860943,-0.226312729698,0.0,451.35140535106535,449.58434339257497,449.7278973502963,447.9206797800781
4.199999999999998,-15.2322825149,-7.62831959357,19.8718361794,5.67168770859,0.135535576201,0.0,-9.84848634816,-8.30819395997,0.986247680407,-0.142283850724,-0.186788357619,0.0,478.8608562170824,479.7227864991845,478.0820900552245,480.10621138500875
